label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s,nodes,pass
default,32,6000000,48000000,1,0.113183,1,1
default,32,6000000,48000000,2,0.113020,1,1
default,32,6000000,48000000,3,0.112709,1,1
default,32,6000000,48000000,4,0.112896,1,1
default,32,6000000,48000000,5,0.113117,1,1
dyn_linear,32,6000000,48000000,1,0.113198,1,1
dyn_linear,32,6000000,48000000,2,0.113055,1,1
dyn_linear,32,6000000,48000000,3,0.112543,1,1
dyn_linear,32,6000000,48000000,4,0.112971,1,1
dyn_linear,32,6000000,48000000,5,0.113861,1,1
dyn_pairwise,32,6000000,48000000,1,0.091841,1,1
dyn_pairwise,32,6000000,48000000,2,0.088805,1,1
dyn_pairwise,32,6000000,48000000,3,0.090683,1,1
dyn_pairwise,32,6000000,48000000,4,0.089986,1,1
dyn_pairwise,32,6000000,48000000,5,0.090387,1,1
dyn_pairwise,32,6000000,48000000,1,0.088668,1,2
dyn_pairwise,32,6000000,48000000,2,0.088574,1,2
dyn_pairwise,32,6000000,48000000,3,0.088223,1,2
dyn_pairwise,32,6000000,48000000,4,0.090811,1,2
dyn_pairwise,32,6000000,48000000,5,0.089753,1,2
dyn_linear,32,6000000,48000000,1,0.113015,1,2
dyn_linear,32,6000000,48000000,2,0.112887,1,2
dyn_linear,32,6000000,48000000,3,0.113442,1,2
dyn_linear,32,6000000,48000000,4,0.112955,1,2
dyn_linear,32,6000000,48000000,5,0.113315,1,2
default,32,6000000,48000000,1,0.112867,1,2
default,32,6000000,48000000,2,0.113106,1,2
default,32,6000000,48000000,3,0.112699,1,2
default,32,6000000,48000000,4,0.112755,1,2
default,32,6000000,48000000,5,0.112769,1,2
