label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s,nodes,pass
default,256,6000000,48000000,1,3.366554,8,1
default,256,6000000,48000000,2,2.639696,8,1
default,256,6000000,48000000,3,3.004169,8,1
default,256,6000000,48000000,4,3.784453,8,1
default,256,6000000,48000000,5,3.059157,8,1
dyn_linear,256,6000000,48000000,1,2.355026,8,1
dyn_linear,256,6000000,48000000,2,2.367385,8,1
dyn_linear,256,6000000,48000000,3,1.787858,8,1
dyn_linear,256,6000000,48000000,4,1.846997,8,1
dyn_linear,256,6000000,48000000,5,1.854530,8,1
dyn_pairwise,256,6000000,48000000,1,2.464264,8,1
dyn_pairwise,256,6000000,48000000,2,2.838602,8,1
dyn_pairwise,256,6000000,48000000,3,3.358117,8,1
dyn_pairwise,256,6000000,48000000,4,3.544323,8,1
dyn_pairwise,256,6000000,48000000,5,3.208155,8,1
dyn_pairwise,256,6000000,48000000,1,3.730823,8,2
dyn_pairwise,256,6000000,48000000,2,2.093088,8,2
dyn_pairwise,256,6000000,48000000,3,2.659902,8,2
dyn_pairwise,256,6000000,48000000,4,3.203815,8,2
dyn_pairwise,256,6000000,48000000,5,2.811121,8,2
dyn_linear,256,6000000,48000000,1,2.394961,8,2
dyn_linear,256,6000000,48000000,2,2.514926,8,2
dyn_linear,256,6000000,48000000,3,2.399762,8,2
dyn_linear,256,6000000,48000000,4,2.564724,8,2
dyn_linear,256,6000000,48000000,5,1.916690,8,2
default,256,6000000,48000000,1,3.364141,8,2
default,256,6000000,48000000,2,3.417533,8,2
default,256,6000000,48000000,3,1.720894,8,2
default,256,6000000,48000000,4,2.294304,8,2
default,256,6000000,48000000,5,4.124583,8,2
