label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s,nodes,pass
default,128,6000000,48000000,1,1.979188,4,1
default,128,6000000,48000000,2,1.630793,4,1
default,128,6000000,48000000,3,1.565576,4,1
default,128,6000000,48000000,4,1.561748,4,1
default,128,6000000,48000000,5,1.983152,4,1
dyn_linear,128,6000000,48000000,1,1.530554,4,1
dyn_linear,128,6000000,48000000,2,1.997939,4,1
dyn_linear,128,6000000,48000000,3,1.599131,4,1
dyn_linear,128,6000000,48000000,4,1.561065,4,1
dyn_linear,128,6000000,48000000,5,1.639020,4,1
dyn_pairwise,128,6000000,48000000,1,2.718122,4,1
dyn_pairwise,128,6000000,48000000,2,2.725414,4,1
dyn_pairwise,128,6000000,48000000,3,2.550423,4,1
dyn_pairwise,128,6000000,48000000,4,2.390369,4,1
dyn_pairwise,128,6000000,48000000,5,2.399429,4,1
dyn_pairwise,128,6000000,48000000,1,2.374971,4,2
dyn_pairwise,128,6000000,48000000,2,2.098581,4,2
dyn_pairwise,128,6000000,48000000,3,2.194532,4,2
dyn_pairwise,128,6000000,48000000,4,2.207174,4,2
dyn_pairwise,128,6000000,48000000,5,2.213126,4,2
dyn_linear,128,6000000,48000000,1,2.141535,4,2
dyn_linear,128,6000000,48000000,2,1.553278,4,2
dyn_linear,128,6000000,48000000,3,2.213584,4,2
dyn_linear,128,6000000,48000000,4,1.567609,4,2
dyn_linear,128,6000000,48000000,5,1.513722,4,2
default,128,6000000,48000000,1,1.655916,4,2
default,128,6000000,48000000,2,1.973498,4,2
default,128,6000000,48000000,3,2.124937,4,2
default,128,6000000,48000000,4,1.633416,4,2
default,128,6000000,48000000,5,1.565849,4,2
